id,observed_on,user_id,latitude,longitude,place_county_name,scientific_name,taxon_id,taxon_family_name
44924301,2020-05-02,1080973,34.5310638889,-112.1145472222,Yavapai,Celastrina echo,52484,Lycaenidae
44924366,2020-05-02,1080973,34.5348638889,-112.1203916667,Yavapai,Libytheana carinenta,58561,Nymphalidae
44926352,2020-05-03,259275,32.3445638889,-110.9370027778,Pima,Asterocampa leilia,148793,Nymphalidae
44931263,2020-05-03,1626,31.45919,-111.23267,Santa Cruz,Papilio polyxenes,58523,Papilionidae
44933380,2020-05-02,459714,31.72188,-110.880015,Santa Cruz,Callophrys gryneus siva,234705,Lycaenidae
44933387,2020-05-02,459714,31.723835,-110.8806916667,Santa Cruz,Copaeodes aurantiaca,129415,Hesperiidae
44933397,2020-05-02,459714,31.7244433333,-110.8810816667,Santa Cruz,Junonia nigrosuffusa,1021511,Nymphalidae
44933404,2020-05-02,459714,31.7229816667,-110.8805183333,Santa Cruz,Emesis zela,193851,Riodinidae
44933432,2020-05-03,459714,31.8482583333,-109.3251666667,Cochise,Anthanassa texana,132339,Nymphalidae
44933443,2020-05-03,459714,31.8636983333,-109.33866,Cochise,Icaricia lupini,117360,Lycaenidae
44933455,2020-05-03,459714,31.863685,-109.3385316667,Cochise,Agraulis vanillae,49150,Nymphalidae
44933463,2020-05-03,459714,31.863955,-109.339725,Cochise,Papilio multicaudata,68263,Papilionidae
44933464,2020-05-03,459714,31.8640116667,-109.339775,Cochise,Limenitis arthemis,60607,Nymphalidae
44933473,2020-05-03,459714,31.8641216667,-109.339785,Cochise,Junonia coenia,48505,Nymphalidae
44933482,2020-05-03,459714,31.8643033333,-109.3402566667,Cochise,Junonia coenia,48505,Nymphalidae
44933485,2020-05-03,459714,31.863485,-109.339035,Cochise,Callophrys gryneus,84239,Lycaenidae
44933486,2020-05-03,459714,31.8633333333,-109.3387666667,Cochise,Nathalis iole,51773,Pieridae
44933487,2020-05-03,459714,31.8633116667,-109.3386833333,Cochise,Icaricia lupini,117360,Lycaenidae
44936299,2020-05-04,1160753,33.2679427313,-111.9478829398,Maricopa,Papilio rumiko,509627,Papilionidae
44941587,2020-05-04,316327,33.4472152082,-111.6389545798,Maricopa,Anthanassa texana,132339,Nymphalidae
44951108,2018-09-13,749221,31.449436871,-110.4496447229,Cochise,Eurema daira,67324,Pieridae
44953501,2019-06-13,2786840,33.3296018,-111.9060446,Maricopa,Strymon melinus,50931,Lycaenidae
44953644,2019-09-01,2786840,31.548149,-110.1398435,Cochise,Battus philenor,49972,Papilionidae
44968083,2020-05-04,2296101,31.4105333786,-110.283150948,Cochise,Limenitis arthemis arizonensis,60606,Nymphalidae
44972619,2020-05-04,107133,32.2718558279,-111.0556099936,Pima,Anthanassa texana,132339,Nymphalidae
44988842,2020-05-03,1080973,34.5524027778,-112.713075,Yavapai,Atlides halesus,59128,Lycaenidae
44991275,2020-05-05,2907495,33.4883324476,-111.9928191696,Maricopa,Agraulis vanillae,49150,Nymphalidae
44994812,2020-05-03,259275,32.3609472222,-110.9282916667,Pima,Leptotes marina,59152,Lycaenidae
44994819,2020-05-03,259275,32.360925,-110.9282833333,Pima,Eurema mexicana,122374,Pieridae
44995960,2020-05-05,550238,34.99442,-111.71916167,Coconino,Euptoieta claudia,68244,Nymphalidae
45005874,2020-05-05,1467548,31.89378833,-109.16613883,Cochise,Limenitis arthemis arizonensis,60606,Nymphalidae
45010670,2020-05-05,442615,32.2408815313,-110.7816770787,Pima,Brephidium exilis,53843,Lycaenidae
45010679,2020-05-05,442615,32.2408175967,-110.7828581126,Pima,Nathalis iole,51773,Pieridae
45010685,2020-05-05,442615,32.2408175967,-110.7828581126,Pima,Pontia protodice,59119,Pieridae
45010687,2020-05-05,442615,32.2408175967,-110.7828581126,Pima,Echinargus isola,118914,Lycaenidae
45010696,2020-05-05,442615,32.2408175967,-110.7828581126,Pima,Anthanassa texana,132339,Nymphalidae
45020342,2020-05-02,513187,31.72396,-110.8806533333,Santa Cruz,Anthanassa texana,132339,Nymphalidae
45020354,2020-05-02,513187,31.7248383333,-110.880385,Santa Cruz,Copaeodes aurantiaca,129415,Hesperiidae
45020357,2020-05-02,513187,31.72443,-110.8804666667,Santa Cruz,Junonia nigrosuffusa,1021511,Nymphalidae
45020365,2020-05-02,513187,31.7225233333,-110.8804683333,Santa Cruz,Emesis zela,193851,Riodinidae
45020369,2020-05-02,513187,31.7223233333,-110.8803533333,Santa Cruz,Anthanassa texana,132339,Nymphalidae
45025169,2015-06-24,321597,33.4618138889,-111.945725,Maricopa,Anthanassa texana,132339,Nymphalidae
45026032,2020-04-13,1432772,33.51688333,-112.030425,Maricopa,Pontia protodice,59119,Pieridae
45026865,2020-05-05,19375,31.8714428287,-111.0118324274,Pima,Vanessa virginiensis,48549,Nymphalidae
45032634,2020-05-05,2724775,35.2796606614,-111.5963842497,Coconino,Glaucopsyche lygdamus,56776,Lycaenidae
45032644,2020-05-05,2724775,35.2796606614,-111.5963842497,Coconino,Junonia coenia,48505,Nymphalidae
45035153,2017-10-02,1973897,36.8628913,-112.7397318,Mohave,Danaus gilippus,51743,Nymphalidae
45036925,2017-10-02,1973897,36.8628913,-112.7397318,Mohave,Adelpha eulalia,67559,Nymphalidae
45037173,2020-05-05,1723765,32.2965036436,-110.8375968305,Pima,Asterocampa celtis,68264,Nymphalidae
45037485,2017-10-02,1973897,36.8628913,-112.7397318,Mohave,Limenitis weidemeyerii,68251,Nymphalidae
45071403,2020-05-06,2886826,32.30415333,-110.88662,Pima,Vanessa cardui,48548,Nymphalidae
45073128,2020-05-06,288282,33.4319508333,-112.3149125,Maricopa,Junonia coenia,48505,Nymphalidae
45083282,2017-10-10,1973897,34.7346416813,-114.4838078837,Mohave,Strymon melinus,50931,Lycaenidae
45084820,2020-05-03,1515318,34.6939118,-112.1276604,Yavapai,Icaricia lupini,117360,Lycaenidae
45084933,2020-05-03,1515318,34.6939118,-112.1276604,Yavapai,Colias eurytheme,58532,Pieridae
45085037,2020-05-05,1515318,33.9646557,-111.8650563,Maricopa,Euptoieta claudia,68244,Nymphalidae
45085088,2020-05-05,1515318,33.9646557,-111.8650563,Maricopa,Limenitis archippus obsoleta,236717,Nymphalidae
45085141,2020-05-05,1515318,33.9646557,-111.8650563,Maricopa,Echinargus isola,118914,Lycaenidae
45085507,2017-10-10,1973897,34.733990115,-114.481927565,Mohave,Colias eurytheme,58532,Pieridae
